索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
N/A,工作信息API,N/A,N/A,N/A,N/A,N/A,N/A,https://www.zhipin.com/wapi/zpgeek/job/detail.json?securityId=mb_ls8zk9MmM8-e1GZdxpxhGpkcSfMZvHETSau8USpP0Diij3KMfzRsMmxIxzHLePrSzkc130x5zM6p6nZ4UaTGVLWWs8byKbMRQGZt8AXojunUdp8uRw6b9-hsndUF7r1SAMaDAvw~~&lid=1xvobQL6J7G.search.1&_=1754484522292
N/A,工作列表API,全栈开发,N/A,N/A,N/A,N/A,N/A,https://www.zhipin.com/wapi/zpgeek/search/joblist.json?page=1&pageSize=15&city=101210100&query=%E5%85%A8%E6%A0%88%E5%BC%80%E5%8F%91&expectInfo=&multiSubway=&multiBusinessDistrict=&position=&jobType=&salary=&experience=&degree=&industry=&scale=&stage=&scene=1&_=1754484555555
N/A,其他,N/A,N/A,N/A,N/A,N/A,N/A,https://www.zhipin.com/job_detail/a1ddb63085765bbf1HV70tW9EVVS.html?securityId=vseknun24E4et-O1hzNfZQ3dtfrBFtWRJhX1I_MEP2p12VTSrGINZgD1ug-vghzKukquc-MzQ5okqrZ-Uzf80vSwYVU57jg7R8BOXYe2D8wSC7c3cQlNdA4dwvIuiGHggu7sqpfvkWKRcI1sESYRLgBFNOU~&ka=company_more_job_a1ddb63085765bbf1HV70tW9EVVS
N/A,其他,N/A,N/A,N/A,N/A,N/A,N/A,https://www.zhipin.com/job_detail/203152ed94cddd8103J42966EVdY.html?securityId=JHGVjx6Xm77mp-m1nvM-SgnxsigSZwKI1yAp1L-eq8oZUUY849ykBtN08yV8KbyQ4k-4MZOe4AGQrFaSyQeI0tquyV7su04AsN2hT8x_eGTQ2EQrzx9JsD8QonQJeI5vXe8oIQ~~&ka=company_more_job_203152ed94cddd8103J42966EVdY
0,职位详情,全栈开发（杭州，银行驻场）,银丰新融,杭州,10-15K,3-5年,本科,https://www.zhipin.com/job_detail/96801ac3743d5b3a03J_3tS4EFpR.html?securityId=3Bg3tg9jr1q3S-c1tzH3zO-rJRXORJwx2yF3HMGZSQLeaIDqnOTHRpwivXRApJHON9RyUOHN2vb0GAuGKorJn74g2av6yt43zblqsGszqho3ZIlm_4UDryc-XmfYTDl9ea1_wfi5LcQ~&ka=search-list-1yGQl9q2wIO.search.1
1,职位详情,全栈开发,掘财,杭州,12-15K,经验不限,大专,https://www.zhipin.com/job_detail/a1ddb63085765bbf1HV70tW9EVVS.html?securityId=rnCbKKHb6ygWB-d1w47mw3gSqL8qtJGd8K8LcLufzcdlWKgR4F-NgHDimGRCtfdt74gD11muAKh1tHt8JAh02QUbr7W2VA8q-ZY9Y3uDX2PFKA0tQBaWuqCNFKa_rYaBSa1EZXdK_1M7&ka=search-list-1yGQl9q2wIO.search.2
2,职位详情,全栈开发工程师,杭州汉吴信息科技,杭州,15-20K,3-5年,大专,https://www.zhipin.com/job_detail/9af68e74c8bbb99003F93d67FFtU.html?securityId=k5jbMyrcrpSdH-t1fi3xMCrtDzy7U8Ep2gqYxy5OMNDtzWPv40mDoT-0Y2KJBkx_FRyTJTDJYWUq5C6hXf8S-uEBxvkXY1eAjaJLZXrQVj5f-b4_GxrJx7W2UgNjyINrSRNECnqVrz6syA~~&ka=search-list-1yGQl9q2wIO.search.3
3,职位详情,兼职全栈技术开发工程师,杭州无达科技有限公司,杭州,30-35元/时,经验不限,学历不限,https://www.zhipin.com/job_detail/7c0913077327d7ce03F82N-4GFVS.html?securityId=A7dIECynR8is9-t11lSDuP30tX7GWmr1dSH6o1jlLb9ToSEMx_ZWLl08YCiy1WdLPNCr5tRevJeOmer1_Ls-ZocXqPvCD34mQH4jIilKap5SBun3QuppUDyUxyCDGDoGiFJsiE7V5Dz_gQ~~&ka=search-list-1yGQl9q2wIO.search.4
4,职位详情,php全栈工程师,新之星网络科技,杭州,8-13K,3-5年,大专,https://www.zhipin.com/job_detail/e8930d024e51158403V829q1GVRW.html?securityId=G6l9sMgjeXA5x-f1HId3E5873j8NotbQVcrafixEuPty8sDrfmOg66bg1J4rkCy-n58Bu0LulBMqW-Y9BwIT1xdped8H_l54qSomrHvP-QVcXVzOpTxUjnJDQuqnBRT5SBYD02H8N-So_w~~&ka=search-list-1yGQl9q2wIO.search.5
5,职位详情,全栈开发实习,杭州乐晨进出口,杭州,150-180元/天,nan,本科,https://www.zhipin.com/job_detail/136be77e347b06e403J52N--FVtY.html?securityId=RjJXYm7FdUdA6-k1ZPXV6sQZ0ZcOD7-9Po_RpkuoS5qk-EJqmedsT57Xw9YrXA2CWU56DRdhNjDuA1N3QDCrY3kCZvhFezB0eYrqbq6JwKhorAvRnIqwyNvHfSNxhzG2ILmUW1TJdyX1NQ~~&ka=search-list-1yGQl9q2wIO.search.6
6,职位详情,全栈工程师,盛迭,杭州,12-20K,5-10年,大专,https://www.zhipin.com/job_detail/b8d02ebf5a4d96af03J-2ti0E1FV.html?securityId=pKhSoSfCdIBnL-j1cBOYDGxpPoa76vOzTOVwsIfRheaVNcteLSqlx8c9cZ9EEPuYJfJVK2_4MPEmFpIWymbPhggdxircNY_W16tyMjQhqvQ24Aib2Og4QtNOSrP5q4STBIr6xZYTR98~&ka=search-list-1yGQl9q2wIO.search.7
7,职位详情,小游戏全栈开发工程师（微信+抖音双端）,sixthman,杭州,7-12K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/4752f2f23942b69403F929W7E1dT.html?securityId=Mfdxt9X2uqzkZ-P1qOk9iYON6vJQfYlbPcMRpEQsH_eGj3K6zPt0iawpdztaLxmlbIlUwO4nQUAqgoLeCL524VrEnjBPFflo4uIEHMBAuGLitKGAT_yWmxUgWOQxM8UlWB4WDVg8VBeKK5tN1WpgSCYdMhU4ESd0dlnKZ6LsWjph4F1t&ka=search-list-1yGQl9q2wIO.search.8
8,职位详情,全栈开发工程师,杭州泽氧科技,杭州,10-15K,3-5年,大专,https://www.zhipin.com/job_detail/e2ab61ce8fabfd8703Fy2960F1JU.html?securityId=vrujMFp1cZvL_-P16bMz-FQXc_N3432IvFQe8cFkzPVqrE12uOCdTd0lIm0gO0abYboJIdhZpBMhBE5bX8Pi_eIKhCClJwv7ZrFgZ_J1ty30PilGcMJiArorN43Chwus4E3xLAOq_hA~&ka=search-list-1yGQl9q2wIO.search.9
9,职位详情,java全栈开发工程师（支持远程）,杭州新榆科技,杭州,50-100元/时,经验不限,学历不限,https://www.zhipin.com/job_detail/e9ab85328f09be1f03B93tS9GVVW.html?securityId=9xJNKILfTdsjq-r1xobfGlQJvwSo5_lgMCzicAf-eNxXuJoniwD1CtVrp75szsdZQORtDQD93RYuchpk9qr99NBd9XEjq3RqcbWFP55cgMKJ4itUYBciY51nOTGXT7g_j9frHPS7HOED&ka=search-list-1yGQl9q2wIO.search.10
