职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
全栈开发（杭州，银行驻场）,10-15K,3-5年,本科,杭州,3-5年|本科,全栈无侧重|Vue|Java|计算机相关专业|全栈项目经验|前端开发经验|后端开发经验,0,银丰新融,计算机软件,1000-9999人,不需要融资,91ff76a8f4f3324e0nZ539y5,邢女士,招聘专员,否,3,af6fbb0422bfdcb60XV80tm_EVVX,96801ac3743d5b3a03J_3tS4EFpR,3Bg3tg9jr1q3S-c1tzH3zO-rJRXORJwx2yF3HMGZSQLeaIDqnOTHRpwivXRApJHON9RyUOHN2vb0GAuGKorJn74g2av6yt43zblqsGszqho3ZIlm_4UDryc-XmfYTDl9ea1_wfi5LcQ~,615594290,1yGQl9q2wIO.search.1,节日福利|法定节假日三薪|带薪年假|五险一金|定期体检|团建聚餐,,,,,120.195502,30.230137,否,否,否,否,否,否,,否
全栈开发,12-15K,经验不限,大专,杭州,经验不限|大专,全栈侧重前端|HTML|Vue|PHP|MySQL/Redis/MongoDB|全栈项目经验,0,掘财,广告营销,20-99人,不需要融资,71e620f1164b784a1nZ829y5Elo~,陈林法,人事HR,否,3,0f129336243b0f681HZy2dS-EFc~,a1ddb63085765bbf1HV70tW9EVVS,rnCbKKHb6ygWB-d1w47mw3gSqL8qtJGd8K8LcLufzcdlWKgR4F-NgHDimGRCtfdt74gD11muAKh1tHt8JAh02QUbr7W2VA8q-ZY9Y3uDX2PFKA0tQBaWuqCNFKa_rYaBSa1EZXdK_1M7,615594290,1yGQl9q2wIO.search.2,加班补助|五险一金|带薪年假|补充医疗保险|通讯补贴|交通补助|员工旅游|定期体检|年终奖|餐补|全勤奖,,,萧山区,蜀山,120.259314,30.126106,否,否,否,否,否,否,,否
全栈开发工程师,15-20K,3-5年,大专,杭州,3-5年|大专,,0,杭州汉吴信息科技,计算机软件,0-20人,,90ec55b6c86f62e703Z_0tm5FlA~,朱女士,招聘主管,否,3,6f5f28d1322512e00HVy3Ni8FlVS,9af68e74c8bbb99003F93d67FFtU,k5jbMyrcrpSdH-t1fi3xMCrtDzy7U8Ep2gqYxy5OMNDtzWPv40mDoT-0Y2KJBkx_FRyTJTDJYWUq5C6hXf8S-uEBxvkXY1eAjaJLZXrQVj5f-b4_GxrJx7W2UgNjyINrSRNECnqVrz6syA~~,615594290,1yGQl9q2wIO.search.3,,,,滨江区,长河,120.196949,30.188047,否,否,否,否,否,否,,否
兼职全栈技术开发工程师,30-35元/时,经验不限,学历不限,杭州,经验不限|学历不限,后端开发经验|全栈侧重后端|全栈无侧重|全栈侧重前端|计算机相关专业|前端开发经验|全栈项目经验,6,杭州无达科技有限公司,广告营销,20-99人,,302bd164c67edbaa1X180tq0GVI~,马女士,深化部经理,否,3,0493930cd6b0c3d10nN73tS6F1dZ,7c0913077327d7ce03F82N-4GFVS,A7dIECynR8is9-t11lSDuP30tX7GWmr1dSH6o1jlLb9ToSEMx_ZWLl08YCiy1WdLPNCr5tRevJeOmer1_Ls-ZocXqPvCD34mQH4jIilKap5SBun3QuppUDyUxyCDGDoGiFJsiE7V5Dz_gQ~~,615594290,1yGQl9q2wIO.search.4,,,,滨江区,长河,120.215903,30.220236,否,否,否,否,否,否,,否
php全栈工程师,8-13K,3-5年,大专,杭州,3-5年|大专,PHP开发经验|PHP|全栈|计算机相关专业,0,新之星网络科技,互联网,0-20人,未融资,c88b332efe1e4b671HR52d60EFU~,张女士,人事,否,3,615824af71453fc00XJ93d6-F1BZ,e8930d024e51158403V829q1GVRW,G6l9sMgjeXA5x-f1HId3E5873j8NotbQVcrafixEuPty8sDrfmOg66bg1J4rkCy-n58Bu0LulBMqW-Y9BwIT1xdped8H_l54qSomrHvP-QVcXVzOpTxUjnJDQuqnBRT5SBYD02H8N-So_w~~,615594290,1yGQl9q2wIO.search.5,社保福利|节日福利|团建聚餐|保底工资,,,钱塘区,金沙湖,120.31553,30.308897,否,否,否,否,否,否,,否
全栈开发实习,150-180元/天,,本科,杭州,6天/周|3个月|本科,全栈侧重后端|JavaScript|TypeScript|React|Node.js|MySQL/Redis/MongoDB|计算机相关专业|全栈项目经验|后端开发经验|英语读写能力良好,4,杭州乐晨进出口,电子商务,0-20人,未融资,d0ed3c888ca1fa7f1XBy0tS_E1A~,巢云平,总经理,否,3,90b56de8ba58ae000nN909-6GFRY,136be77e347b06e403J52N--FVtY,RjJXYm7FdUdA6-k1ZPXV6sQZ0ZcOD7-9Po_RpkuoS5qk-EJqmedsT57Xw9YrXA2CWU56DRdhNjDuA1N3QDCrY3kCZvhFezB0eYrqbq6JwKhorAvRnIqwyNvHfSNxhzG2ILmUW1TJdyX1NQ~~,615594290,1yGQl9q2wIO.search.6,团建聚餐|底薪加提成|员工旅游|五险一金|节日福利|带薪年假|年终奖|绩效奖金,6天/周,3个月,萧山区,北干,120.284688,30.179334,否,否,否,否,否,否,,否
全栈工程师,12-20K,5-10年,大专,杭州,5-10年|大专,,0,盛迭,计算机软件,100-499人,未融资,8eac0c0fcfc3b3d51nJ_3t67EQ~~,张女士,招聘经理,否,3,ec1e36a3643e055833R53d28FVQ~,b8d02ebf5a4d96af03J-2ti0E1FV,pKhSoSfCdIBnL-j1cBOYDGxpPoa76vOzTOVwsIfRheaVNcteLSqlx8c9cZ9EEPuYJfJVK2_4MPEmFpIWymbPhggdxircNY_W16tyMjQhqvQ24Aib2Og4QtNOSrP5q4STBIr6xZYTR98~,615594290,1yGQl9q2wIO.search.7,零食下午茶|年终奖|交通补助|通讯补贴|五险一金|全勤奖,,,滨江区,长河,120.182555,30.188982,否,否,否,否,否,否,,否
小游戏全栈开发工程师（微信+抖音双端）,7-12K·13薪,1-3年,本科,杭州,1-3年|本科,,0,sixthman,游戏,20-99人,不需要融资,05c13a26ef3bf6ba1nx_2ti8EA~~,巫女士,HR,是,3,9f6838749a4838211nV72tS1GVpS,4752f2f23942b69403F929W7E1dT,Mfdxt9X2uqzkZ-P1qOk9iYON6vJQfYlbPcMRpEQsH_eGj3K6zPt0iawpdztaLxmlbIlUwO4nQUAqgoLeCL524VrEnjBPFflo4uIEHMBAuGLitKGAT_yWmxUgWOQxM8UlWB4WDVg8VBeKK5tN1WpgSCYdMhU4ESd0dlnKZ6LsWjph4F1t,615594290,1yGQl9q2wIO.search.8,节日福利|绩效奖金|年终奖|零食下午茶|五险一金|带薪年假,,,西湖区,宋城,120.107164,30.171558,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,大专,杭州,3-5年|大专,全栈无侧重|计算机相关专业|全栈项目经验,0,杭州泽氧科技,互联网金融,100-499人,A轮,828f43078a794beb1Xd-29i6Fw~~,张先生,人事主管,否,3,5c9b8aba5a9845db03B52tu6Elo~,e2ab61ce8fabfd8703Fy2960F1JU,vrujMFp1cZvL_-P16bMz-FQXc_N3432IvFQe8cFkzPVqrE12uOCdTd0lIm0gO0abYboJIdhZpBMhBE5bX8Pi_eIKhCClJwv7ZrFgZ_J1ty30PilGcMJiArorN43Chwus4E3xLAOq_hA~,615594290,1yGQl9q2wIO.search.9,保底工资|节假日加班费|绩效奖金|通讯补贴|全勤奖|交通补助|开单激励奖|节日福利|工龄奖|有无线网|年终奖|加班补助|生日福利|员工旅游|法定节假日三薪|底薪加提成|零食下午茶|团建聚餐,,,余杭区,勾庄,120.12438,30.344852,否,否,否,否,否,否,,否
java全栈开发工程师（支持远程）,50-100元/时,经验不限,学历不限,杭州,经验不限|学历不限,Java|SpringCloud|MySQL|Spring|接受居家办公,6,杭州新榆科技,企业服务,0-20人,,b54c1064c37d82f01H170tS9FlE~,黄先生,招聘人员,否,3,ce2605770baccdfa1Xx809S4GFc~,e9ab85328f09be1f03B93tS9GVVW,9xJNKILfTdsjq-r1xobfGlQJvwSo5_lgMCzicAf-eNxXuJoniwD1CtVrp75szsdZQORtDQD93RYuchpk9qr99NBd9XEjq3RqcbWFP55cgMKJ4itUYBciY51nOTGXT7g_j9frHPS7HOED,615594290,1yGQl9q2wIO.search.10,,,,,,120.089322,30.333449,否,否,否,否,否,否,,否
