职位名称,薪资,工作经验,学历要求,城市,职位标签,技能要求,职位类型,公司名称,公司行业,公司规模,融资阶段,公司ID,BOSS姓名,BOSS职位,BOSS在线,BOSS认证,BOSS ID,职位ID,安全ID,期望ID,列表ID,福利,每周工作天数,最少工作月数,区域,商业区,经度,纬度,是否匿名,是否外地,是否优选,是否代理,是否屏蔽,是否直接投递,图标文字,是否置顶
全栈开发（杭州，银行驻场）,10-15K,3-5年,本科,杭州,3-5年|本科,全栈无侧重|Vue|Java|计算机相关专业|全栈项目经验|前端开发经验|后端开发经验,0,银丰新融,计算机软件,1000-9999人,不需要融资,91ff76a8f4f3324e0nZ539y5,邢女士,招聘专员,否,3,af6fbb0422bfdcb60XV80tm_EVVX,96801ac3743d5b3a03J_3tS4EFpR,aBDTXe5ymrDgS-I15r3pWWdwDMF-R05Rk2gwPqfKGdrukC5myFJmnrUhY73e4lD7CByEmfERFQn1ldEAbQD8dCcM14L3CEAo3g7_g2pOOr0U-RWmCRyOLkLqKXkqP7mrL65KBjGvOPE~,615594290,1yECquUO94v.search.1,节日福利|法定节假日三薪|带薪年假|五险一金|定期体检|团建聚餐,,,,,120.195502,30.230137,否,否,否,否,否,否,,否
全栈开发,12-15K,经验不限,大专,杭州,经验不限|大专,全栈侧重前端|HTML|Vue|PHP|MySQL/Redis/MongoDB|全栈项目经验,0,掘财,广告营销,20-99人,不需要融资,71e620f1164b784a1nZ829y5Elo~,陈林法,人事HR,否,3,0f129336243b0f681HZy2dS-EFc~,a1ddb63085765bbf1HV70tW9EVVS,s7d6kWfIBVgO9-M1HPOlyJBmeG_hoPIY7XOH4lnvuHfJX-k5397SwSC7ll-apFVxFcxGQklylWaZcaGNf7tlLyvXJ7lZkY1Lsc-4KdK6Opp6Fz_JNI5MAduZ6c3KmswL-fJwd-mqnesD,615594290,1yECquUO94v.search.2,加班补助|五险一金|带薪年假|补充医疗保险|通讯补贴|交通补助|员工旅游|定期体检|年终奖|餐补|全勤奖,,,萧山区,蜀山,120.259314,30.126106,否,否,否,否,否,否,,否
全栈开发工程师,15-20K,3-5年,大专,杭州,3-5年|大专,,0,杭州汉吴信息科技,计算机软件,0-20人,,90ec55b6c86f62e703Z_0tm5FlA~,朱女士,招聘主管,否,3,6f5f28d1322512e00HVy3Ni8FlVS,9af68e74c8bbb99003F93d67FFtU,3Hdbuc2ZGDVS5-g1X5iAyMt-2E63px1O_kh8tGzt9CLvcV-9-g9R1wEYvqth1V_LDih0yf2EoYCntyDsUMyFWw4MN6PWVhg24S0jBx_gNJLFUV3cYgVkrml_FmRU0VkQKsGXHLpf5DQG2w~~,615594290,1yECquUO94v.search.3,,,,滨江区,长河,120.196949,30.188047,否,否,否,否,否,否,,否
兼职全栈技术开发工程师,30-35元/时,经验不限,学历不限,杭州,经验不限|学历不限,后端开发经验|全栈侧重后端|全栈无侧重|全栈侧重前端|计算机相关专业|前端开发经验|全栈项目经验,6,杭州无达科技有限公司,广告营销,20-99人,,302bd164c67edbaa1X180tq0GVI~,马女士,深化部经理,否,3,0493930cd6b0c3d10nN73tS6F1dZ,7c0913077327d7ce03F82N-4GFVS,iZCG5eM0cQkQG-U18v2e7FF9d01x0DYK8H378g3JlHVEwI-48tHF4NzK6r8el3oSX3Jp-Oja578jk6tWabEYEEzTOl6WUzLzDsVF74kM4WlPI72dAt-BXegDfAy8X_iN94eVFKo1_ND4DQ~~,615594290,1yECquUO94v.search.4,,,,滨江区,长河,120.215903,30.220236,否,否,否,否,否,否,,否
全栈工程师,12-20K,5-10年,大专,杭州,5-10年|大专,,0,盛迭,计算机软件,100-499人,未融资,8eac0c0fcfc3b3d51nJ_3t67EQ~~,张女士,招聘经理,否,3,ec1e36a3643e055833R53d28FVQ~,b8d02ebf5a4d96af03J-2ti0E1FV,6nrLv5l4HZzOD-B1qLT2jR5-qvi8vv1iFzSy1btNCPDd7QdhNMeyJO2hSgiz1jMk6jy0TyO-pG-itMqvhtlSVvaWk-rHdI3d0_hYhhiDkSmsNMI6do6WySgX-Sf7LLxOhk_fU9UbMvc~,615594290,1yECquUO94v.search.5,零食下午茶|年终奖|交通补助|通讯补贴|五险一金|全勤奖,,,滨江区,长河,120.182555,30.188982,否,否,否,否,否,否,,否
小游戏全栈开发工程师（微信+抖音双端）,7-12K·13薪,1-3年,本科,杭州,1-3年|本科,,0,sixthman,游戏,20-99人,不需要融资,05c13a26ef3bf6ba1nx_2ti8EA~~,巫女士,HR,是,3,9f6838749a4838211nV72tS1GVpS,4752f2f23942b69403F929W7E1dT,1inrrhM1IXExj-J1kx-R4zpX1EdpxW1VNqba26SZ0g5rtq33YMLLawkK-mWEtQD2fDErxYqYf_S6V-wkdqUeqLtmXIAswQh5J_IiHuTkhRJQJzpYfx3av0HkT5B38Ks6V39oJVaPueopfLcCrUJn52rSL4C5AwJY87N9QLNCrfXo2piP,615594290,1yECquUO94v.search.6,节日福利|绩效奖金|年终奖|零食下午茶|五险一金|带薪年假,,,西湖区,宋城,120.107164,30.171558,否,否,否,否,否,否,,否
全栈开发工程师,10-15K,3-5年,大专,杭州,3-5年|大专,全栈无侧重|计算机相关专业|全栈项目经验,0,杭州泽氧科技,互联网金融,100-499人,A轮,828f43078a794beb1Xd-29i6Fw~~,张先生,人事主管,否,3,5c9b8aba5a9845db03B52tu6Elo~,e2ab61ce8fabfd8703Fy2960F1JU,fZJaNL-gF1G4A-X1PamdEuhyCvnJNckddXhNOD99lQJLoZLE5YWzXILPl1jsBBwwLYWHrvx0rJXrCaaq-Ds8hb7xn4lDrDqGMhung-TkLjGlv9HABVoawilvJbEEoZlreN36LPZW4Fw~,615594290,1yECquUO94v.search.7,保底工资|节假日加班费|绩效奖金|通讯补贴|全勤奖|交通补助|开单激励奖|节日福利|工龄奖|有无线网|年终奖|加班补助|生日福利|员工旅游|法定节假日三薪|底薪加提成|零食下午茶|团建聚餐,,,余杭区,勾庄,120.12438,30.344852,否,否,否,否,否,否,,否
java全栈开发工程师（支持远程）,50-100元/时,经验不限,学历不限,杭州,经验不限|学历不限,Java|SpringCloud|MySQL|Spring|接受居家办公,6,杭州新榆科技,企业服务,0-20人,,b54c1064c37d82f01H170tS9FlE~,黄先生,招聘人员,否,3,ce2605770baccdfa1Xx809S4GFc~,e9ab85328f09be1f03B93tS9GVVW,DDDOY8O5_gW2A-t1aG8RkgyZ7lXFZF_LZtiSYP21zQi3yXpdcSJjWGSHG2zwBHkHzzmm1xY7hkTuwOoyXQrChIupCSdZPq2IoQ_hpbX9keNnVlqQHjSfBNNtNfeiLu_SwYJ6OEfGJFmM,615594290,1yECquUO94v.search.8,,,,,,120.089322,30.333449,否,否,否,否,否,否,,否
AI全栈开发工程师（医疗智能体）,18-25K,5-10年,本科,杭州,5-10年|本科,全栈无侧重|AI|医疗智能体,0,美联控股,医疗器械,100-499人,未融资,d8a7186faa21dfd31Xxz39y_EVQ~,田先生,HRD,否,3,a8ab6f885e1d6c4d1XN62d6-EVE~,1c6184835486bab803J_3d64F1VR,U8OxFjdAbgcgv-816pch8Mv4h5g-dUboH4BK6ZgV6Qx4veb2hjYF0E3-L7TsllmMyh_UCqe1XJUeUopmlNod51o1KGmIu_AWKqTFBstRtrW_IPucisEEvLBUA3g37202PxDkhA_UTMGf,615594290,1yECquUO94v.search.9,节日福利|生日福利|带薪年假|工龄奖|绩效奖金|五险一金|团建聚餐|年终奖|高温补贴|夜班补助|定期体检|员工旅游|加班补助|股票期权|节假日加班费,,,萧山区,西兴,120.247566,30.204337,否,否,否,否,否,否,,否
全栈工程师,8-13K,3-5年,本科,杭州,3-5年|本科,,0,浙江字优传媒科技,生活服务(O2O),20-99人,未融资,bd3cb65becba6cc81H142ty4E1E~,郭涌,CEO,是,3,d56e3f1de74389410nN73d66FVRW,1503399ca0d4561503J739m9EVdV,s7YoDMDMA5YqL-Y1l-F4H1LyJtfvNdIKVcXYH_AJRSuifuI2qWuDEHWveI2af96EbM6atm57629_3tc6Fl_13lF7TsTEVuWTrmaGwVbvo5N0KOIsfYpQrWpo_PEe7W5HJfJHFaSQannrY7gArbdsodaaic26yFeFNYoDpv9f-DwzbOCatA~~,615594290,1yECquUO94v.search.10,夜班补助|全勤奖|保底工资|加班补助|绩效奖金|员工旅游|高温补贴|通讯补贴|年终奖|节假日加班费|生日福利|底薪加提成|法定节假日三薪|带薪年假|团建聚餐|工龄奖,,,萧山区,钱江世纪城,120.246295,30.246746,否,否,否,否,否,否,,否
