索引,职位名称,公司名称,薪资,工作经验,学历要求,工作文字信息,URL
0,全栈开发（杭州，银行驻场）,银丰新融,10-15K,3-5年,本科,"1，本科及以上学历，计算机相关专业
2，前后端全栈，vue,sprin-cloud 银丰新融2000年成立，迄今23年，专注于风险管理的软件研发
·         2023年拥有超过1300位员工，在东北、华北、华东、华南、西南均设有分支机构
·         客户均为大型商业银行，包括光大、华夏、民生、北京农商、包商银行等，目前客户拥有200家
·         致力于产品研发、应用开发、项目实施、系统集成以及相关业务管理咨询等IT服务
·         产品包括反洗钱、审计、监管报送、报表平台等并不断完善创新

北京银丰新融科技开发有限公司成立于2000年，是一家以软件开发为主、系统集成为辅的高科技公司。公司主要是为银行与企业提供风险管理相关的咨询服务和管理软件系统；在企业风险管理、企业财务监督、银行综合业务系统、金融稽核系统、银行反洗钱系统、卡支付系统、银税通、支票保付、票据缩微、信贷管理等领域有着众多的成功案例。

自2004年开始，银丰公司在金融稽核系统、操作风险管理与反洗钱系统、卡支付系统等核心业务领域进行了技术创新，加大了宣传投入，扩展了市场份额；同时，公司在开拓企业财务监督、企业内部风险管理、银行OA（自动化办公）等新的发展方向上做了大量的技术储备和资金投入。目前，公司正致力于企业财务监督、企业风险管理、银行OA系统等业务领域众多项目的开发，在稳固原有业务的同时这几项业务也将成为今后一段时间内公司重点发展的方向。

处于迅猛发展阶段的银丰公司，希望有更多能力突出、技术高深、经验丰富的志同道合之士一起共同发展！

公司网站：www.ist.com.cn",https://www.zhipin.com/job_detail/96801ac3743d5b3a03J_3tS4EFpR.html?securityId=3Bg3tg9jr1q3S-c1tzH3zO-rJRXORJwx2yF3HMGZSQLeaIDqnOTHRpwivXRApJHON9RyUOHN2vb0GAuGKorJn74g2av6yt43zblqsGszqho3ZIlm_4UDryc-XmfYTDl9ea1_wfi5LcQ~&ka=search-list-1yGQl9q2wIO.search.1
1,全栈开发,掘财,12-15K,经验不限,大专,"1:熟练php uniapp 对于高并发产品服务器有配置经验 
2: 日常维护迭代更新 修复现有产品 H5广告投放落地页 盲盒app 。
3:对接外部渠道api
4:能长期稳定接受远程办公。",https://www.zhipin.com/job_detail/a1ddb63085765bbf1HV70tW9EVVS.html?securityId=rnCbKKHb6ygWB-d1w47mw3gSqL8qtJGd8K8LcLufzcdlWKgR4F-NgHDimGRCtfdt74gD11muAKh1tHt8JAh02QUbr7W2VA8q-ZY9Y3uDX2PFKA0tQBaWuqCNFKa_rYaBSa1EZXdK_1M7&ka=search-list-1yGQl9q2wIO.search.2
2,全栈开发工程师,杭州汉吴信息科技,15-20K,3-5年,大专,"岗位职责：
1. 负责SaaS平台、iOS/Android App及微信小程序的全栈开发与迭代，实现产品需求的全流程交付 
2. 构建高性能、可扩展的前后端架构，确保WEB端/APP端/小程序端 多端体验一致性 
3. 参与音视频/图片处理模块开发 
4. 持续优化系统性能与安全防护
岗位要求：
1. 3～5年全栈开发经验
2. 熟悉 Vue3/CSS/Uniapp，掌握React，掌握 微信小程序/Android/IOS 原生开发的优先
3. JAVA基础扎实，熟悉IO、多线程、集合等基础框架，熟练掌握常用数据结构、算法及设计模式，对JVM原理有一定的认识
4. 熟悉 Mybatis/Spring/Spring Boot 框架，熟悉 MySQL/Redis
5. 良好的沟通能力和团队协作能力
6. 掌握Python的优先",https://www.zhipin.com/job_detail/9af68e74c8bbb99003F93d67FFtU.html?securityId=k5jbMyrcrpSdH-t1fi3xMCrtDzy7U8Ep2gqYxy5OMNDtzWPv40mDoT-0Y2KJBkx_FRyTJTDJYWUq5C6hXf8S-uEBxvkXY1eAjaJLZXrQVj5f-b4_GxrJx7W2UgNjyINrSRNECnqVrz6syA~~&ka=search-list-1yGQl9q2wIO.search.3
3,兼职全栈技术开发工程师,杭州无达科技有限公司,30-35元/时,经验不限,学历不限,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2026-10-14
游戏产品经理，兼职
商城产品经理，兼职
在校生、应届生，兼职
软件开发工程师，兼职
前端开发工程师，兼职
后端开发工程师，兼职
商城 ui 设计师，兼职
游戏 ui 设计师，兼职
商城开发工程师，兼职
游戏开发工程师，兼职
- 营销，销售，BD，兼职
技术负责人（Tech Lead 技术股合伙人
技术经理（Technical，Manager 技术股合伙人，",https://www.zhipin.com/job_detail/7c0913077327d7ce03F82N-4GFVS.html?securityId=A7dIECynR8is9-t11lSDuP30tX7GWmr1dSH6o1jlLb9ToSEMx_ZWLl08YCiy1WdLPNCr5tRevJeOmer1_Ls-ZocXqPvCD34mQH4jIilKap5SBun3QuppUDyUxyCDGDoGiFJsiE7V5Dz_gQ~~&ka=search-list-1yGQl9q2wIO.search.4
4,php全栈工程师,新之星网络科技,8-13K,3-5年,大专,"招聘有App开发经验丰富的PHP人员
岗位职责和任职要求：
1、熟练掌握PHP语言，熟练thinkphp，laravel框架，熟练掌握Linux服务器，并少具有三年以上项目经验；
2、精通PHP+MYSQL；
3、熟悉网络攻击防御、安全评估、安全加固、安全巡检等相关技术；
4、三年以上互联网从业经验，有体育类App开发经验的优先。
上班时间：早九晚六
福利待遇：节日福利、带薪年休假、定期团建活动、下午茶、生日福利。
初创公司，包容万象，一切皆有可能，透明的晋升体系，00后团队，扁平化管理、职场自由度高，工作氛围超nice~~",https://www.zhipin.com/job_detail/e8930d024e51158403V829q1GVRW.html?securityId=G6l9sMgjeXA5x-f1HId3E5873j8NotbQVcrafixEuPty8sDrfmOg66bg1J4rkCy-n58Bu0LulBMqW-Y9BwIT1xdped8H_l54qSomrHvP-QVcXVzOpTxUjnJDQuqnBRT5SBYD02H8N-So_w~~&ka=search-list-1yGQl9q2wIO.search.5
5,全栈开发实习,杭州乐晨进出口,150-180元/天,nan,本科,"公司简介
我们是一家处于快速发展期的科技创新企业，专注于将前沿人工智能技术与传统行业深度融合，致力于重新定义用户体验和商业模式。公司拥有强大的技术团队和丰富的行业资源，在多模态AI、智能交互和数据驱动决策等领域具备核心竞争优势。我们正在构建下一代智能化解决方案，为行业带来颠覆性创新。
职位信息
职位名称: 全栈工程师 (AI技术方向)
 工作地点: 杭州萧山
 薪资范围: 面议 
 工作性质: 全职 
经验要求: 工作经验不限，
优秀应届生亦可
岗位职责
后端开发
负责高性能后端服务架构设计与开发
基于Node.js + Express.js构建RESTful API服务
集成第三方AI服务和云计算平台
设计和优化多数据库混合架构(MySQL + MongoDB)
开发高并发图像处理和文件存储服务
实现安全认证和权限管理系统
前端开发
基于React 18 + TypeScript构建现代化Web应用
使用主流UI框架实现响应式界面设计
开发复杂交互流程和实时数据展示
集成多媒体处理和设备API调用
优化前端性能和用户体验
实现组件化和模块化开发
技术集成
集成深度学习模型和AI推理服务
开发计算机视觉相关功能模块
实现数据处理和算法优化
负责系统性能监控和调优
参与技术选型和架构决策
技术栈要求
必备技能
后端技术栈:
Node.js (18+) + Express.js 框架
MySQL (Sequelize ORM) + MongoDB (Mongoose ODM)
Redis 缓存和会话管理
JWT 认证 + bcryptjs 加密
Multer 文件上传 + Sharp 图像处理
阿里云SDK
前端技术栈:
React 18 + React Router + React Hook Form
Vite 构建工具 + TypeScript (加分项)
Radix UI 组件库 + Tailwind CSS
Framer Motion 动画 + Lucide React 图标
Axios HTTP客户端 + Zod 数据验证
WebRTC 摄像头访问经验
DevOps & 工具:
Git 版本控制 + GitHub 协作
Docker 容器化部署
HTTPS/SSL 证书配置
Swagger API文档
Jest 单元测试 + ESLint 代码规范
加分技能
Python + OpenCV 图像处理经验
深度学习框架 (PyTorch/TensorFlow) 使用经验
3D图形学 和 计算机视觉 背景
ai大模型使用经验 大模型使用经验
阿里云GPU实例 部署经验
深度相机 开发经验
电商系统 开发经验
任职要求
学历背景
计算机科学、软件工程、人工智能相关专业本科及以上学历
985/211院校或QS世界排名前100院校毕业生优先考虑
或具备同等技术能力和突出项目经验
工作经验
工作经验不限: 欢迎优秀应届毕业生和各阶段工程师
有AI、机器学习、计算机视觉相关项目经验优先
有高并发系统开发和性能优化经验优先
核心能力
全栈开发能力: 能够独立完成前后端开发任务
AI技术理解: 对深度学习、计算机视觉有基本理解
性能优化: 具备系统性能调优和问题排查能力
学习能力: 快速学习新技术，适应技术迭代
团队协作: 良好的沟通能力和团队合作精神
个人素质
对人工智能和前沿技术有浓厚兴趣和敏锐洞察力
具备产品思维，关注用户体验和商业价值
代码质量意识强，遵循工程最佳实践
学习能力强，能快速适应技术变化和业务需求
抗压能力强，能适应快节奏的创新环境
成长机会
技术成长: 接触前沿AI技术，参与核心技术研发和创新
职业发展: 清晰的技术专家和管理双通道晋升路径
学习支持: 技术培训、顶级会议参与、学习资源全额报销
项目经验: 参与从0到1的创新产品全生命周期开发
工作环境
弹性工作: 灵活的工作时间安排
设备支持: 高配置开发设备和双显示器
团队氛围: 扁平化管理，开放的技术讨论文化
办公环境: 现代化办公空间，免费咖啡和零食
简历要求:
详细的项目经验描述
GitHub或作品集链接
技术栈匹配度说明
期望薪资和到岗时间",https://www.zhipin.com/job_detail/136be77e347b06e403J52N--FVtY.html?securityId=RjJXYm7FdUdA6-k1ZPXV6sQZ0ZcOD7-9Po_RpkuoS5qk-EJqmedsT57Xw9YrXA2CWU56DRdhNjDuA1N3QDCrY3kCZvhFezB0eYrqbq6JwKhorAvRnIqwyNvHfSNxhzG2ILmUW1TJdyX1NQ~~&ka=search-list-1yGQl9q2wIO.search.6
6,全栈工程师,盛迭,12-20K,5-10年,大专,"岗位职责​​
负责前后端系统的设计、开发和优化，确保高性能和可靠性。
使用 ​​Java​​ 或 ​​Python​​ 构建高效的后端服务（如Spring Boot、Django/Flask等）。
使用 ​​React​​ 开发响应式、用户友好的前端界面。
在必要时使用 ​​Node.js​​ 进行中间层开发或工具链优化。
与产品、设计团队协作，理解需求并转化为高质量的技术实现。
优化代码结构，提升系统性能，确保代码可维护性和可扩展性。
参与技术方案评审，推动团队技术能力的提升。
​​任职要求​​
5年以上全栈开发经验，熟练掌握 ​​Java​​ 或 ​​Python​​ 后端开发。
熟练使用 ​​React​​ 及相关生态（如Redux、Hooks等）。
熟悉RESTful API设计，了解微服务架构。
熟悉数据库（如MySQL、PostgreSQL）和缓存技术（如Redis）。
具备良好的代码规范意识，熟悉Git等版本控制工具。
熟悉 ​​Node.js​​ 开发（Express/NestJS等）。
了解云服务（AWS/Azure/GCP）和容器化技术（Docker/K8s）。
有CI/CD、自动化测试经验者优先。
对新技术敏感，有较强的学习能力和问题解决能力。",https://www.zhipin.com/job_detail/b8d02ebf5a4d96af03J-2ti0E1FV.html?securityId=pKhSoSfCdIBnL-j1cBOYDGxpPoa76vOzTOVwsIfRheaVNcteLSqlx8c9cZ9EEPuYJfJVK2_4MPEmFpIWymbPhggdxircNY_W16tyMjQhqvQ24Aib2Og4QtNOSrP5q4STBIr6xZYTR98~&ka=search-list-1yGQl9q2wIO.search.7
7,小游戏全栈开发工程师（微信+抖音双端）,sixthman,7-12K·13薪,1-3年,本科,"岗位职责：
1.	负责微信/抖音小游戏前端开发与性能优化（小包体,资源异步远程加载）
2.	实现双平台SDK深度接入（用户登录、广告系统、分享裂变、数据埋点）
3.	主导跨平台发布流程（Cocos Creator|Unity|Laya→微信/抖音/PC跨端）
任职要求：
1.能主动思考，有较强的自驱力（必须）；
2.精通JavaScript、HTML、CSS和HTTP协议等Web开发领域所需的基本技能（必须）； ；
3.掌握React/Angular/Vue等其中一种主流的前端框架，并了解底层原理，熟悉git/gulp/babel等各种工具；
4.有良好的沟通能力、团队协作精神，有清晰的逻辑思维、较强的学习能力。",https://www.zhipin.com/job_detail/4752f2f23942b69403F929W7E1dT.html?securityId=Mfdxt9X2uqzkZ-P1qOk9iYON6vJQfYlbPcMRpEQsH_eGj3K6zPt0iawpdztaLxmlbIlUwO4nQUAqgoLeCL524VrEnjBPFflo4uIEHMBAuGLitKGAT_yWmxUgWOQxM8UlWB4WDVg8VBeKK5tN1WpgSCYdMhU4ESd0dlnKZ6LsWjph4F1t&ka=search-list-1yGQl9q2wIO.search.8
8,全栈开发工程师,杭州泽氧科技,10-15K,3-5年,大专,"岗位职责:
1.根据设计图完成前端页面的开发工作，使用Vue等前端技术。
2.负责后端开发，使用Node.js、Express、PostgreSQL、MySQL等技术，
3.使用Redis等缓存技术提高系统性能。
4.参与实际项目开发，确保开发质量和进度。
任职要求:
1.具备一年以上实际项目开发经验。
2.熟练掌握Node.js、Express、PostgreSQL、MySQL等开发技术，
3.能够使用Vue等前端技术根据设计图完成页面开
发。
4.有Java开发经验者优先
5.具备原生安卓开发经验或iOS开发经验者优先
不满足1、2、3项的勿投 企业简介：

浙江融悦汽车租赁集团有限公司，成立于2011年，总部位于浙江杭州，是杭州市汽车租赁协会副会长单位，多次被评定为诚信企业及服务质量信用考核AAA级企业。同时，2017年浙江融悦获得了由中国旅游车船协会颁发的常务理事单位称号，中国自驾车协会及中国房车协会常务理事单位。",https://www.zhipin.com/job_detail/e2ab61ce8fabfd8703Fy2960F1JU.html?securityId=vrujMFp1cZvL_-P16bMz-FQXc_N3432IvFQe8cFkzPVqrE12uOCdTd0lIm0gO0abYboJIdhZpBMhBE5bX8Pi_eIKhCClJwv7ZrFgZ_J1ty30PilGcMJiArorN43Chwus4E3xLAOq_hA~&ka=search-list-1yGQl9q2wIO.search.9
9,java全栈开发工程师（支持远程）,杭州新榆科技,50-100元/时,经验不限,学历不限,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
工作时段：不限
结算方式：周结
招聘截止时间：2025-08-03
你好
1， 因为是远程办公，需要自备电脑，需要安装桌面监控软件（企无忧）。
2，此岗位为开发岗，时间8:30-19:00，工作强度不小，长期任职管理岗的朋友请勿扰，谢谢！
3，必须是全栈，技术栈java，springboot，springcloud，vue uniapp 小程序。
以上3点能ok的话，请联系我！",https://www.zhipin.com/job_detail/e9ab85328f09be1f03B93tS9GVVW.html?securityId=9xJNKILfTdsjq-r1xobfGlQJvwSo5_lgMCzicAf-eNxXuJoniwD1CtVrp75szsdZQORtDQD93RYuchpk9qr99NBd9XEjq3RqcbWFP55cgMKJ4itUYBciY51nOTGXT7g_j9frHPS7HOED&ka=search-list-1yGQl9q2wIO.search.10
